,channel_AF3_app_entropy,arousal,valence,dominance,liking,subject,channel_F3_app_entropy,channel_F7_app_entropy,channel_FC5_app_entropy,channel_T7_app_entropy,channel_P7_app_entropy,channel_O1_app_entropy,channel_O2_app_entropy,channel_P8_app_entropy,channel_T8_app_entropy,channel_FC6_app_entropy,channel_F8_app_entropy,channel_F4_app_entropy,channel_AF4_app_entropy
0,1.564036060625674,7.71,7.6,6.9,7.83,s01,1.5931713359061392,1.6552638235685144,1.6286736016161667,1.6371029322315565,1.5843671648860775,1.6083881528108366,0.19422022420083396,1.4867085455684874,1.6290417880755763,1.5562280623693807,1.6475002688555316,1.6159432162532115,1.4927770788489445
0,1.5438238396951345,8.1,7.31,7.28,8.47,s01,1.8132985520322888,1.6322865746703972,1.5525560684969317,1.602755937492625,1.4465912966132777,1.490640508859478,0.47250586046448095,1.435202898570041,1.6264135331577982,1.467475771475434,1.5980400550951996,1.6482112280429302,1.4324655919641298
0,1.4886821388816331,8.58,7.54,9.0,7.08,s01,1.7462609452298015,1.580146549101154,1.556652931715596,1.6145629021239287,1.3976928061047937,1.5052520867465145,0.23634772946716298,1.4400527771195089,1.5575523597870493,1.4423853418744752,1.510908872656346,1.6047386590248482,1.4035581186411843
0,1.5240529293754213,4.94,6.01,6.12,8.06,s01,1.607964571246824,1.5823912141862158,1.6019477072889394,1.5988374247755281,1.4939740391357246,1.5201707865147558,0.20037769618467083,1.4482977110245283,1.590648497335284,1.4370762311766656,1.5481083582200714,1.589164613768416,1.3566773911365222
0,1.609442073153084,6.96,3.92,7.19,6.05,s01,1.680718646424416,1.7107833124061864,1.6613163501215373,1.686718970754785,1.4665448794083336,1.5427748182956655,0.1812613551129716,1.517353389619851,1.7366610148803785,1.5856971031063987,1.6325200329049574,1.654091086516753,1.5614524229025744
0,1.5812560835866751,8.27,3.92,7.0,8.03,s01,1.6286378996070194,1.6918990991356955,1.6285123443319707,1.7299367367305472,1.4791404985024998,1.5556255644480572,0.23624470547621357,1.5002672318277828,1.6696854045562697,1.5590841020367865,1.677002216080191,1.6301782877912228,1.52304485842543
0,1.456341814035107,7.44,3.73,7.08,7.04,s01,1.5056391907296183,1.6279184403450095,1.4950001381762892,1.5888237139319799,1.4315902285387727,1.5654173509082208,0.18673330420145895,1.4028712349025048,1.5862842873259657,1.5308195907795072,1.5575009068880874,1.6110240431144778,1.4951012975331874
0,1.5014409399365336,7.32,2.55,6.32,5.87,s01,1.5611733788122626,1.5385531391974823,1.5447977851724177,1.6130824362973062,1.3644636987779144,1.5326305924882098,0.19664687939978043,1.4491476039880133,1.612700067685017,1.4114749628940508,1.5853576283514519,1.6762748520045676,1.3174245569634282
0,1.5269912273256319,4.04,3.29,3.62,5.99,s01,1.5177816188694724,1.6685724874065704,1.5691079055440804,1.7002646248361195,1.4074808948721165,1.5201114906093514,0.3646234131635846,1.4517809625945315,1.724878098991785,1.3713859129508057,1.5737822000708848,1.7180676077503865,1.3202127608804695
0,1.5802714086518872,1.99,4.86,2.04,7.09,s01,1.6227308196884005,1.677905924422948,1.6401455313108597,1.6195379099465637,1.3783074840623382,1.6372962396591904,0.11284961548392047,1.5484110119654355,1.631571493906221,1.5419644472053537,1.619743648031907,1.6135205583882017,1.4805656296939738
0,1.4704608943419757,2.99,2.36,3.63,6.24,s01,1.756531158149853,1.5627362531137114,1.5304494351102598,1.5193477597550782,1.4520935985793537,1.546545429723298,0.13055116360625973,1.3843221283637237,1.6497171539614488,1.4967101684678,1.6369143882601804,1.6540720456646056,1.4327966607869005
0,1.503240938303727,2.71,2.77,3.4,7.35,s01,1.5130036287540554,1.5300077092970223,1.5303119387042843,1.5912650923924456,1.4121480563258642,1.514200527136503,0.23212005129226565,1.4167904334591324,1.5960617852223278,1.4391835501749446,1.5858892000754876,1.6400244864422193,1.3737977693293857
0,1.4826475281757032,1.95,3.12,2.87,6.18,s01,1.6640521841936469,1.5661863968066339,1.5972933987552338,1.6632928902755628,1.3983884753356088,1.5452494197411912,0.2577871605986237,1.4383701783675624,1.6739045611099046,1.495476079148852,1.5696903036675147,1.607186145246847,1.4781301536803593
0,1.5552811890001728,4.18,2.24,3.04,5.04,s01,1.5758834469422887,1.5930029926626608,1.5774552688811703,1.7138424590026977,1.4785281172087164,1.5003710007573074,0.27262093605889914,1.4847780190780044,1.6338490727462744,1.3767571918642667,1.706389893640754,1.755267330191721,1.244606268706288
0,1.5466044743733756,3.17,8.08,2.91,5.04,s01,1.5976140648978276,1.6215080685505088,1.59121874325385,1.5112715389013056,1.2933734198727525,1.514194530530105,0.22039628847713333,1.48521208322257,1.5303136785845028,1.4008899457505315,1.5682830644002408,1.5757133516120696,1.3353875309624312
