iter	Logloss	Accuracy
0	0.6915564354	0.653125
1	0.690395762	0.65625
2	0.6893142198	0.6421875
3	0.6881516736	0.65625
4	0.6872578784	0.6453125
5	0.685924748	0.646875
6	0.684742011	0.6484375
7	0.6838490566	0.646875
8	0.6825293126	0.642187599	0.6812489214	0.640625
10	0.6803869945	0.6375
11	0.6793238718	0.640625
12	0.6780581784	0.6390625
13	0.6766900643	0.6390625
14	0.6755755194	0.6375
15	0.674474173	0.6375
16	0.6734423718	0.6359375
17	0.6726076781	0.6328125
18	0.6716192557	0.6328125
19	0.6706924088	0.6375
20	0.6696430902	0.634375
21	0.6685381066	0.634375
22	0.6677069493	0.6328125
23	0.6669455062	0.6328125
24	0.6660240614	0.6328125
25	0.6653140553	0.63125
26	0.664637449	0.6328125
27	0.663242982	0.63125
28	0.6625613102	0.6296875
29	0.6618149137	0.6328125
30	0.6611228279	0.6328125
31	0.6603706296	0.6328125
32	0.6596522801	0.63125
33	0.6586845112	0.63125
34	0.6577771581	0.6328125
35	0.656694223	0.6328125
36	0.6558585104	0.6328125
37	0.6550650423	0.6328125338	0.6542378534	0.6328125339	0.6536022876	0.6328140	40	0.6526561981	0.634374141	0.6515758271	0.634374242	0.6507537749	0.634343	43	0.6498451846	0.63444	044	0.6490969301	0.63445	045	0.6484990267	0.63446	046	0.6479002219	0.63247	0.47	0.6470796958	0.63448	048	0.6463253163	0.6349	0.49	0.6456537473	0.63450	050	0.6448063556	0.634351	51	0.6440847729	0.634352	52	0.6433209025	0.634353	53	0.642533801	0.634375554	0.6420571073	0.634375555	0.6413658489	0.634375656	0.6404059223	0.634375757	0.6395556602	0.6359375558	0.6388649025	0.6359375559	0.6379591507	0.6359376660	0.6372449723	0.63561	6161	0.6363943536	0.6262	0.62	0.6356868241	663	0.628863	0.634853564	0.64	0.628164	0.633778465	0.65	0.627465	0.63366	0.627066	0.626566	0.67	0.62666367	0.6267	0.63268	0.6260568	0.68	0.63139869	0.62569	069	0.63045552670	0.6270	0.70	0.62990730371	0.67171	0.6290964854	0.72	0.72	72	0.6286303223	0.73	0.73	0.6279077839	0.63974	0.74	0.6271795637	0.6375	0.775	0.6266893374	0.676	0.7676	0.6259250686	0.77	0.777	0.6253255022	0.678	0.78	0.6247723573	0.6479	0.679	0.6241042418	0.680	0.80	0.623342915	0.64581	0.81	0.6226097505	0.6482	0.682	0.6219455052	083	0.616183	0.6213045751	084	0.615584	0.6207978077	085	0.614885	0.62026586886	0.61445586	0.619865402587	0.6137087	0.618918188	088	088	0.6181444515	0.653189	89	0.6176221801	0.653129090	0.6167560997	0.6546879191	0.6162568467	0.6546879292	0.6156722136	0.654693	093	0.6150329333	0.6594	094	0.6143786801	0.65629595	0.6140125531	0.65629696	0.6133946443	0.657897	097	0.6127692906	0.6598	0.698	0.612263841	0.699	0.6099	0.6115308403	0100	0.6100	0.6106236922	0.6101	0.6101	0.6100743935	0.6102	0.102	0.6095547217	0.65103	0103	0.609110559	0.66104	0.104	0.6084629586	0.66105	0.105	0.607771524	0.66106	0.106	0.6068576857	0.6107	0.6107	0.6064446117	0.6108	0.6108	0.6060070923	0.109	0.60109	0.6052758149	0.110	0.60110	0.6045683489	0.111	0.6111	0.604129538	0.6112	0.112	0.6033679343	0.6113	0.113	0.6028832525	0.66114	0.114	0.6023886925	0.66115	0115	0.6018916972	0.665116	116	0.6013272238	0.668711117	0.6008084364	0.66718711118	0.600361045	0.66875
119	0.5999338987	0.6703125
120	0.5996181461	0.67343121121	0.598946905	0.675
122	0.5982528402	0.6734375
123	0.5978481219	0.675
124	0.597171226	0.675
125	0.5966206683	0.6734375
126	0.5961886265	0.675
127	0.5957933012	0.6765625
128	0.5950798804	0.6765625
129	0.5945610602	0.6765625
130	0.5942020783	0.6765625
131	0.5936183345	0.678125
132	0.5928864576	0.6796875
133	0.5922653481	0.678125
134	0.5914524582	0.6796875
135	0.5911587357	0.67968751136	0.5908190235	0.67968751137	0.5903365991	0.68125
138	0.5897834978	0.68593751139	0.5894459208	0.68281214140	0.5890375481	0.681251141	0.588492159	0.68281251142	0.5879940386	0.684375
143	0.5875434275	0.6828125
144	0.5871244363	0.6859145	145	0.5866666288	0.6146	146	0.5862691089	0.68751147	0.5859431086	0.6890148	148	0.5853210125	0.6149	0.5149	0.584840433	0.6150	150	0.5845172185	0.6890151	151	0.5841183417	0.6890152	152	0.583680294	0.6906215153	0.5833976747	0.6906251154	0.5823541634	0.6906155155	0.5818692136	0.6968715156	0.5815170668	0.69531215157	0.5810603154	0.6968715158	0.5804791516	0.6968751159	0.5800714941	0.69531160160	0.5796308835	0.6968716161	0.5791363297	0.69843716162	0.5786616832	0.69843716163	0.5784056732	0.69843164164	0.5780909976	0.6984165	165	0.5778459047	166	0.572166	0.577386167	0.572362519167	0.168	0.5718243572	0.70168	0.169	0.57133241169	0.576297170	0.570888352170	0.575633171	0.57047478171	0.5753607172	0.56999741172	0.575041173	0.569284378173	0.5745174	0.568939488	174	0.57175	0.5686200603	0175	0.5176	0.5682491159	0.176	0.57177	0.5677933416	0.177	0.178	0.5672371986	0.7178	0.5179	0.5668107898	0.179	0.57180	0.5665592522	0.180	0.57181	0.5661527382	0.181	0.57182	0.56546890182	0.5711321183	0.565100183	0.5705697184	0.56457481184	0.5699880185	0.56403330185	0.5695925186	0.56341205186	0.5691615187	0.56320518187	0.5689344188	0.5627008188	0.56836189	0.562317162189	0.56190	0.5619180539190190	0191	0.5614031048	0.19191192	0.5610832965	0.7171192	193	0.5606228346	0.7171193	194	0.5600894981	0.7171194	195	0.5596578182	0.7171195	196	0.5590651808	0.196	19197	0.5587365027	0.711197198	0.5583762879	0.718719199	0.5578520684	0.7156219200	0.5572542643	0.7156220201	0.5567191557	0.718752202	0.5561996617	0.72031222203	0.5557350149	0.7218720204	0.5552130067	0.725
205	0.5548742662	0.7234375
206	0.5542721923	0.728125
207	0.5538753508	0.728125
208	0.5535116648	0.7296875
209	0.5531959373	0.728125
210	0.5528759613	0.734375
211	0.552623797	0.7328125
212	0.5523725822	0.73281252213	0.551999118	0.7343752214	0.5516409053	0.7343752215	0.5510788641	0.7375
216	0.5508162557	0.7375
217	0.5505006412	0.7375
218	0.550066705	0.7375
219	0.5495662075	0.7390625
220	0.5491498193	0.7390625
221	0.5488591596	0.7375
222	0.5485588759	0.7375
223	0.5482995927	0.7375
224	0.5478575309	0.7390625
225	0.5474844501	0.7390625
226	0.5471106853	0.740625
227	0.5468807947	0.7390625
228	0.5465297192	0.740625
229	0.5461708893	0.7390625
230	0.5457135175	0.7390625
231	0.5454754762	0.740625
232	0.5450859824	0.740625
233	0.5445397776	0.7390625
234	0.5441293795	0.740625
235	0.543526752	0.7421875
236	0.5432939095	0.740625
237	0.5429141783	0.740625
238	0.542477641	0.7421875
239	0.5419105612	0.74218239240	0.5416265044	0.7421240	241	0.5412442043	0.74241	0242	0.540837278	0.7421242	243	0.540639795	0.74218243244	0.5402013874	0.74218244245	0.539960983	0.74218724246	0.5396829147	0.74218246247	0.5393161818	0.7421247	248	0.5389327995	0.7421248	249	0.5386676366	0.743724250	0.5383730173	0.7406250251	0.5381425914	0.74218251252	0.5378043665	0.743725253	0.5375004477	0.743752254	0.5370676231	0.74531225255	0.53669444	0.7453125
256	0.5364393392	0.74531252257	0.5359553123	0.74531225258	0.535562504	0.74531252259	0.5352131106	0.74531252260	0.5346829804	0.7453260	261	0.5344024489	0.7261	0.5262	0.5336563201	262	0.5415263	0.5331813263	0.5409457264	0.53291904264	0.54049265	0.532264509	265	0.540266	0.531955730266	0.5267	0.5314777013	267	0.5393268	0.5311018606	268	0.5388269	0.530687994	269	0.538270	0.5303470268	270	0.538271	0.5300583215	0271	0.53272	0.529626927	0.272	0.5273	0.5292951303	0.7273	0.5274	0.5289856731	0274	0.53275	0.5285463831	275	0.536276	0.528338796	276	0.5356277	0.5280349156	277	0.535278	0.5276206539	0278	0.5279	0.5272135967	0.7279	0.280	0.5267261686	0.76280	0.281	0.5263647557	0.7281	0.5282	0.5259025018	0.282	0283	0.5255208697	0.76283284	0.5250699422	0.7625
285	0.5248248015	0.7640625
286	0.5245771954	0.765625
287	0.5242685351	0.768728288	0.5238209716	0.7288	0.5289	0.5236277188	0.7289	0290	0.5233084152	0.768290291	0.5229522697	0.291	0.52292	0.52269847292	0.5291770293	0.5222630293	0.52888901294	0.5218301294	0.52845295	0.5215051067295	0.52819296	0.52129296	0.527671001297	0.520871297	0.52735726298	0.52035298	0.527080303299	0.520085299	0.52678229300	0.519459300	0.52643642301	0.51930301	0.526230331302	0.5189302	0.5258489249	303	0.5187303	0.5256412567	304	0.51304	0.525330069305	0.518164305	0.525179172306	0.517306	0.524891189	0.307	0307	0.5245527954	0.76308308	0.5241441969	0.7609309	309	0.5239082347	0.7609310	310	0.5236892647	0.76231311	0.523249638	0.7625
312	0.5228774138	0.7640625
313	0.5225259808	0.765625
314	0.5222829631	0.765625
315	0.5221053665	0.765625
316	0.5218313399	0.765625
