iter	Passed	Remaining
0	43	437678
1	78	392299
2	111	371033
3	155	387798
4	184	369552
5	214	356597
6	242	346625
7	276	345485
8	308	342525
9	337	337057
10	368	334853
11	398	331923
12	427	328533
13	458	327317
14	502	334644
15	532	332350
16	568	333837
17	618	343135
18	648	340861
19	680	339503
20	708	336535
21	738	334766
22	767	333066
23	798	332080
24	827	330361
25	858	329317
26	887	327842
27	917	326718
28	948	326267
29	982	326387
30	1019	327881
31	1057	329326
32	1118	337966
33	1156	339063
34	1210	344522
35	1246	344920
36	1293	348218
37	1324	347151
38	1358	346879
39	1389	345974
40	1421	345247
41	1466	347781
42	1509	349651
43	1549	350599
44	1592	352350
45	1630	352811
46	1669	353500
47	1704	353454
48	1742	353899
49	1778	354010
50	1815	354075
51	1850	354102
52	1885	353937
53	1916	353068
54	1946	351912
55	1976	350968
56	2006	349993
57	2035	348930
58	2072	349116
59	2107	349168
60	2138	348489
61	2169	347680
62	2198	346826
63	2227	345839
64	2257	345079
65	2287	344377
66	2316	343432
67	2345	342646
68	2376	342057
69	2407	341464
70	2438	340945
71	2467	340177
72	2497	339689
73	2528	339226
74	2558	338552
75	2591	338347
76	2622	337943
77	2655	337818
78	2689	337706
79	2722	337640
80	2755	337401
81	2787	337200
82	2816	336557
83	2848	336287
84	2880	336048
85	2912	335773
86	2945	335646
87	2977	335373
88	3009	335133
89	3042	335054
90	3091	336639
91	3148	339083
92	3181	338930
93	3214	338735
94	3245	338360
95	3291	339579
96	3322	339203
97	3356	339128
98	3388	338892
99	3422	338809
100	3451	338253
101	3484	338117
102	3517	337988
103	3563	339085
104	3597	339000
105	3630	338903
106	3661	338547
107	3693	338289
108	3725	338019
109	3756	337738
110	3789	337642
111	3825	337778
112	3860	337799
113	3894	337703
114	3926	337540
115	3960	337448
116	3995	337469
117	4028	337343
118	4061	337206
119	4104	337916
120	4137	337777
121	4167	337399
122	4198	337123
123	4226	336641
124	4253	336056
125	4284	335779
126	4313	335360
127	4344	335106
128	4376	334885
129	4406	334559
130	4437	334269
131	4470	334234
132	4504	334171
133	4538	334165
134	4574	334252
135	4607	334169
136	4641	334122
137	4674	334068
138	4709	334068
139	4743	334098
140	4777	334046
141	4811	334048
142	4845	333975
143	4877	333858
144	4914	333989
145	4947	333891
146	4979	333794
147	5011	333621
148	5045	333562
149	5077	333431
150	5111	333380
151	5166	334748
152	5200	334690
153	5235	334747
154	5278	335288
155	5311	335176
156	5345	335132
157	5381	335200
158	5412	334996
159	5459	335781
160	5494	335788
161	5526	335609
162	5560	335597
163	5594	335511
164	5625	335305
165	5656	335076
166	5687	334896
167	5720	334764
168	5752	334618
169	5780	334273
170	5810	333972
171	5842	333827
172	5874	333699
173	5906	333521
174	5936	333289
175	5965	332987
176	5993	332637
177	6023	332355
178	6052	332100
179	6086	332046
180	6116	331789
181	6159	332282
182	6190	332077
183	6223	332014
184	6256	331954
185	6289	331874
186	6323	331832
187	6358	331851
188	6393	331899
189	6426	331831
190	6475	332546
191	6510	332592
192	6545	332576
193	6579	332555
194	6629	333361
195	6665	333419
196	6700	333417
197	6732	333316
198	6765	333212
199	6798	333139
200	6826	332807
201	6857	332620
202	6886	332357
203	6914	332020
204	6945	331836
205	6977	331744
206	7006	331452
207	7040	331435
208	7073	331357
209	7106	331287
210	7137	331130
211	7190	332006
212	7220	331779
