iter	Passed	Remaining
0	775	194656
1	1801	225126
2	2703	224400
3	3440	213326
4	4229	208940
5	5001	205062
6	5772	202046
7	6619	201904
8	7428	200582
9	8408	203486
10	9173	200981
11	9989	199791
12	10869	199836
13	11715	199163
14	12599	199077
15	13550	199875
16	14478	200149
17	15412	200357
18	16306	199967
19	17186	199366
20	18062	198684
21	18870	197285
22	19691	196061
23	20552	195245
24	21332	193695
25	22169	192705
26	23052	192104
27	23809	190473
28	24777	190530
29	25764	190657
30	26792	191001
31	27886	191716
32	28944	192084
33	29956	192075
34	31100	192821
35	32223	193343
36	33289	193436
37	34339	193385
38	35345	193041
39	36432	193090
40	37417	192563
41	38465	192328
42	39517	192073
43	40644	192135
44	41666	191667
45	42847	191881
46	43907	191509
47	44985	191189
48	46204	191416
49	47284	191030
50	48393	190727
51	49520	190463
52	50600	189991
53	51659	189419
54	52722	188842
55	53740	188091
56	55110	188536
57	56643	189464
58	58117	190112
59	59759	191229
60	61287	191901
61	62855	192621
62	64279	192837
63	65786	193249
64	67250	193475
65	68711	193642
66	70209	193863
67	71594	193726
68	73126	193943
69	74590	193936
70	76105	194015
71	77554	193887
72	79092	193940
73	80498	193630
74	81942	193385
75	83509	193389
76	84908	192972
77	86341	192608
78	87855	192392
79	89405	192222
80	90940	191986
81	92358	191474
82	93787	190964
83	95222	190445
84	97058	190691
85	98900	190901
86	100737	191053
87	102546	191109
88	104357	191126
89	106227	191209
90	108133	191313
91	110021	191342
92	112022	191521
93	114128	191833
94	116381	192335
95	118440	192465
96	120412	192411
97	122223	192064
98	124013	191657
99	125858	191304
100	127682	190891
101	129475	190405
102	131301	189941
103	133095	189404
104	134884	188838
105	136970	188657
106	139488	189026
107	141311	188414
108	143278	187970
109	145119	187336
110	147073	186822
111	148942	186177
112	151692	186595
113	154247	186720
114	156757	186745
115	159099	186530
116	161584	186443
117	164146	186403
118	166605	186205
119	168966	185863
120	171297	185454
121	173628	185013
122	175986	184571
123	178449	184206
124	180903	183797
125	183397	183397
126	186095	183164
127	188631	182736
128	190871	181994
129	193113	181229
130	195542	180615
131	197803	179820
132	200124	179058
133	202435	178264
134	204728	177431
135	207042	176595
136	209417	175788
137	211781	174950
138	214100	174053
139	216542	173233
140	219889	173104
